Job Id,title,skills,description,hourlyRateFrom,hourlyRateTo,fixedPriceEstimate,projectSize,duration,experienceLevel,pricingType,requiredSpecialties,requiredRoles,createdAt
JID_0001,Mid Data Engineer,"[""Flutter Developer"", ""Vue.js"", ""MLflow"", ""MongoDB"", ""Hardhat""]","This project is research-focused. We're looking for a Mid Data Engineer to prototype and evaluate data pipelines. Responsibilities include data collection, model training, and experimental analysis. Required skills: Flutter Developer, Vue.js, MLflow, MongoDB, Hardhat. You will document the methodology and provide reproducible pipelines.

Deliverables: reproducible code, evaluation report, and presentation.

We care deeply about quality, user privacy, and performance.",67.35,131.12,,Small,6+ months,Senior,hourly,"[""QA & Testing""]","[""Developer""]",2025-09-26T22:40:49.001843Z
JID_0002,Intermediate QA Engineer,"[""iOS Engineer"", ""Helm"", ""Scikit-learn"", ""TypeScript"", ""REST API""]","We're seeking a Intermediate QA Engineer to join our bootstraped logistics team. The successful candidate will work on user-facing mobile apps, producing maintainable, tested, and documented code. This role requires experience with iOS Engineer, Helm, Scikit-learn, TypeScript, REST API. You'll collaborate with product managers and engineers, participate in design reviews, and ensure code quality.

Scope: an infra automation pipeline

Deliverables: Production-ready dashboard with tests, CI/CD and documentation.

Communication: Weekly synchronous updates and daily async notes.

Why us: We care deeply about quality, user privacy, and performance.",102.43,152.63,,Medium,6+ months,Expert,hourly,"[""Product / Design""]","[""Analyst"", ""Architect""]",2025-09-22T04:31:29.002157Z
JID_0003,Junior UI Engineer,"[""Android Developer"", ""Product Designer"", ""Helm"", ""Storybook"", ""EKS""]","Looking for a Junior UI Engineer with deep experience in performance optimization. The role focuses on an ML pipeline at scale. Required tech: Android Developer, Product Designer, Helm, Storybook, EKS. You should be comfortable with profiling, benchmarking, and capacity planning.

Deliverables: optimized system, benchmark reports, and monitoring dashboards.

We care deeply about quality, user privacy, and performance.",79.3,107.33,,Small,3-6 months,Expert,hourly,"[""Data Science & ML""]","[""Designer"", ""Analyst""]",2025-08-05T01:05:50.002312Z
JID_0004,Intermediate Web3 Developer,"[""Mobile Engineer"", ""React"", ""HTML"", ""MongoDB"", ""Azure""]","We're building a Web3 product and need a Intermediate Web3 Developer to implement smart contracts and integration with off-chain services. Scope: a scalable backend. Required: Mobile Engineer, React, HTML, MongoDB, Azure. Security-conscious candidates only; audits and formal verification experience a plus.

Deliverables: audited contracts, integration tests, and deployment scripts.

We have raised seed funding and are scaling rapidly.",7.6,13.41,,Small,6+ months,Entry,hourly,"[""Blockchain / Web3"", ""Product / Design""]","[""Architect"", ""Analyst""]",2025-10-09T06:09:49.002425Z
JID_0005,Intermediate DevOps Engineer,"[""Flutter"", ""Crashlytics"", ""Android Developer"", ""iOS Engineer"", ""Spring Boot""]","We're hiring a Intermediate DevOps Engineer to improve security and resilience. You'll review architectures, implement secure patterns, and harden our deployments. Must have experience with Flutter, Crashlytics, Android Developer, iOS Engineer, Spring Boot and security best practices. Provide prior security audit examples.

Deliverables: audit report, mitigation plan, and code changes.

We care deeply about quality, user privacy, and performance.",14.1,25.55,,Small,6+ months,Intermediate,hourly,"[""QA & Testing"", ""Frontend Development""]","[""Developer"", ""Architect""]",2025-05-25T19:47:08.002512Z
JID_0006,Junior Mobile Engineer,"[""Dart"", ""Google Play Console"", ""Terraform"", ""k6"", ""Product Designer""]","We're building a Web3 product and need a Junior Mobile Engineer to implement smart contracts and integration with off-chain services. Scope: a cross-platform mobile app. Scope: a cross-platform mobile app. Required: Dart, Google Play Console, Terraform, k6, Product Designer. Security-conscious candidates only; audits and formal verification experience a plus.

Deliverables: audited contracts, integration tests, and deployment scripts.

We are remote-first and value async communication.",98.46,173.78,,Small,3-6 months,Expert,hourly,"[""Frontend Development"", ""Mobile Development""]","[""Engineer""]",2025-04-23T16:47:18.002609Z
JID_0007,Mid QA Engineer,"[""Kotlin"", ""Kubernetes"", ""Azure"", ""Flutter"", ""Svelte""]","Look, we've been burned before. We're hiring a Mid QA Engineer to actually get things done — no excuses. You'll implement an infra automation pipeline, fix our slow endpoints, and make the codebase readable. We need someone with strong Kotlin, Kubernetes, Azure, Flutter, Svelte experience. We need someone with strong Kotlin, Kubernetes, Azure, Flutter, Svelte experience. If you're flaky, don't apply.

Must deliver: working feature, tests, and a knowledge transfer.

We are remote-first and value async communication.",,,62611.13,Medium,Ongoing / Indefinite,Expert,fixed,"[""Backend Development""]","[""Designer""]",2025-10-12T19:21:01.002692Z
JID_0008,Junior Product Manager,"[""Swift"", ""Load Testing"", ""IPFS"", ""Django"", ""Blockchain Developer""]","Hey! We're a friendly team looking for a Junior Product Manager. You'll help build real-time features. We value communication, clear code, and honest estimates. Tech we use: Swift, Load Testing, IPFS, Django, Blockchain Developer. If you like collaborative teams and shipping, apply!

Deliverables: feature set, docs, and onboarding notes.

We're remote-first and value async communication.",,,1065.97,Small,Less than 1 month,Junior,fixed,"[""QA & Testing""]","[""Engineer"", ""Architect""]",2025-06-02T15:40:47.002786Z
JID_0009,Junior ML Researcher,"[""Jetpack Compose"", ""CloudBuild"", ""PyTorch"", ""k6"", ""Vite""]","Join our product team as a Junior ML Researcher. You'll translate product requirements into technical designs and implement a performant frontend. Collaboration with designers and PMs is key. Required: Jetpack Compose, CloudBuild, PyTorch, k6, Vite. Experience with A/B testing and analytics preferred.

Deliverables: feature implementation, metrics dashboard, and rollout plan.

We're remote-first and value async communication.",,,2039.16,Medium,1-3 months,Entry,fixed,"[""DevOps / SRE"", ""Blockchain / Web3""]","[""Engineer"", ""Designer""]",2025-06-23T07:01:41.002906Z
JID_0010,Senior QA Engineer,"[""SwiftUI"", ""JUnit"", ""UI Engineer"", ""SageMaker"", ""Elasticsearch""]","Senior QA Engineer needed. Scope: an ML pipeline. Stack: SwiftUI, JUnit, UI Engineer, SageMaker, Elasticsearch. Deliverables include working code, tests, and documentation. Provide timeline and relevant examples.

We're profitable and focused on product-market fit.",28.83,57.05,,Medium,1-3 months,Intermediate,hourly,"[""Product / Design""]","[""Architect""]",2025-08-04T04:39:25.002998Z
