User ID,His roles,His Skills Set,Specialized Profile ID,Qualifications ID,His Project Catalog ID,Experience ID,Specializations Roles
user_0001,"['Editor/Proofreader', 'Content Writer']","['Grammarly Pro', 'Spanish Translation', 'Academic Research']",SP_DualMastery,QL_Certified,PC_Writing_5,Entry,['Writing']
user_0002,"['Technical Writer', 'Editor/Proofreader', 'Content Writer']","['Grammarly Pro', 'Spanish Translation', 'AP Style']",SP_CrossFunctional,QL_Masters,PC_Writing_3,Intermediate,['Writing']
user_0003,['Project Coordinator'],"['Zendesk', 'Typing Speed 80 WPM', 'Scheduling']",SP_PrimaryFocus,QL_Bachelors,PC_Admin_4,Expert,['Admin']
user_0004,"['Data Scientist', 'Cloud Engineer', 'Backend Engineer']","['AWS', 'TensorFlow', 'Django', 'Node.js', 'JavaScript']",SP_CrossFunctional,QL_SelfTaught,PC_DevIT_1,Intermediate,['DevIT']
user_0005,['Virtual Assistant'],"['Trello', 'Excel Data Analysis', 'Microsoft Office', 'Typing Speed 80 WPM', 'Zendesk']",SP_PrimaryFocus,QL_Bachelors,PC_Admin_4,Intermediate,['Admin']
user_0006,"['Frontend Developer', 'Data Scientist', 'Cloud Engineer']","['Dart', 'JavaScript', 'Python', 'Go', 'AWS']",SP_CrossFunctional,QL_Masters,PC_DevIT_4,Entry,['DevIT']
user_0007,"['Project Coordinator', 'UI/UX Designer', 'Translator']","['Premiere Pro', 'Adobe Photoshop', 'Trello']",SP_CrossFunctional,QL_Certified,PC_Admin_2,Expert,"['Design', 'Writing', 'Admin']"
user_0008,['SEO Specialist'],"['Salesforce', 'SEO Audit', 'Content Strategy', 'A/B Testing', 'Google Ads', 'HubSpot', 'Facebook Ads']",SP_PrimaryFocus,QL_SelfTaught,PC_Sales_5,Intermediate,['Sales']
user_0009,"['Graphic Designer', 'UI/UX Designer']","['Sketch', 'Blender', 'Figma', 'Adobe Photoshop']",SP_DualMastery,QL_Masters,PC_Design_2,Entry,['Design']
user_0010,"['Technical Writer', 'Editor/Proofreader', 'Content Writer']","['Grammarly Pro', 'Spanish Translation', 'AP Style', 'Legal Transcription']",SP_CrossFunctional,QL_SelfTaught,PC_Writing_1,Entry,['Writing']
user_0011,['Translator'],"['Medical Writing', 'Grammarly Pro', 'Academic Research', 'Copyediting', 'Spanish Translation', 'Legal Transcription']",SP_PrimaryFocus,QL_Bachelors,PC_Writing_1,Expert,['Writing']
user_0012,['DevOps Specialist'],"['Kubernetes', 'JavaScript', 'React', 'Python', 'TensorFlow', 'Django', 'Vue.js']",SP_PrimaryFocus,QL_Bachelors,PC_DevIT_4,Intermediate,['DevIT']
user_0013,['Social Media Manager'],"['Content Strategy', 'SEO Audit', 'Facebook Ads', 'HubSpot', 'Email Marketing']",SP_PrimaryFocus,QL_Certified,PC_Sales_3,Intermediate,['Sales']
user_0014,"['Social Media Manager', 'Lead Generation Specialist']","['HubSpot', 'Email Marketing', 'Content Strategy', 'SEO Audit']",SP_DualMastery,QL_Masters,PC_Sales_1,Entry,['Sales']
user_0015,['Social Media Manager'],"['Facebook Ads', 'Google Ads', 'Salesforce', 'Email Marketing', 'A/B Testing']",SP_PrimaryFocus,QL_Certified,PC_Sales_3,Intermediate,['Sales']
user_0016,"['Backend Engineer', 'Frontend Developer']","['TensorFlow', 'Django', 'Flutter', 'Python']",SP_DualMastery,QL_Masters,PC_DevIT_2,Intermediate,['DevIT']
user_0017,"['Cloud Engineer', 'Mobile App Developer']","['AWS', 'Node.js', 'Flutter', 'Vue.js', 'Go', 'SQL']",SP_DualMastery,QL_SelfTaught,PC_DevIT_2,Entry,['DevIT']
user_0018,['SEO Specialist'],"['Salesforce', 'Google Ads', 'Email Marketing', 'HubSpot']",SP_PrimaryFocus,QL_Bachelors,PC_Sales_3,Entry,['Sales']
user_0019,"['Social Media Manager', 'Copywriter (Marketing)', 'SEO Specialist']","['Email Marketing', 'SEO Audit', 'HubSpot', 'Salesforce', 'Content Strategy', 'Facebook Ads', 'Google Ads']",SP_CrossFunctional,QL_SelfTaught,PC_Sales_5,Entry,['Sales']
user_0020,['Content Writer'],"['Spanish Translation', 'Legal Transcription', 'Copyediting', 'Medical Writing', 'Academic Research', 'AP Style']",SP_PrimaryFocus,QL_Bachelors,PC_Writing_2,Intermediate,['Writing']
user_0021,"['Copywriter (Marketing)', 'Graphic Designer']","['Blender', 'InDesign', 'Email Marketing']",SP_DualMastery,QL_Certified,PC_Sales_5,Intermediate,"['Design', 'Sales']"
user_0022,"['UI/UX Designer', 'Motion Graphics Artist']","['Sketch', 'Blender', 'After Effects', 'Figma']",SP_DualMastery,QL_SelfTaught,PC_Design_3,Intermediate,['Design']
user_0023,['Copywriter (Marketing)'],"['Email Marketing', 'Google Ads', 'Content Strategy', 'Salesforce', 'A/B Testing']",SP_PrimaryFocus,QL_Certified,PC_Sales_1,Entry,['Sales']
user_0024,"['Backend Engineer', 'Project Coordinator', 'SEO Specialist']","['CRM Management', 'Trello', 'Facebook Ads', 'Email Marketing', 'Typing Speed 80 WPM', 'HubSpot']",SP_CrossFunctional,QL_Bachelors,PC_DevIT_1,Entry,"['DevIT', 'Admin', 'Sales']"
user_0025,['Cloud Engineer'],"['Dart', 'Node.js', 'TensorFlow', 'Django', 'Flutter', 'Vue.js']",SP_PrimaryFocus,QL_SelfTaught,PC_DevIT_3,Entry,['DevIT']
